Date,HE,RT Demand
2/7/2020,3,11701.84
2/7/2020,4,11693.37
2/7/2020,5,12002.78
2/7/2020,6,12428.69
2/7/2020,7,13661.48
2/7/2020,8,14723.61
2/7/2020,9,15184.08
2/7/2020,10,15376.42
2/7/2020,11,15466.64
2/7/2020,12,15484.92
2/7/2020,13,15256.2
2/7/2020,14,15008.13
2/7/2020,15,14762.78
2/7/2020,16,14685.15
2/7/2020,17,14908.76
2/7/2020,18,15631.16
2/7/2020,19,15660.28
2/7/2020,20,15279.11
2/7/2020,21,14817.41
2/7/2020,22,14195.43
2/7/2020,23,13350.52
2/7/2020,24,12573.58
2/8/2020,1,12440.48
2/8/2020,2,12601.37
2/8/2020,3,12804.97
2/8/2020,4,12822.76
2/8/2020,5,12716.89
2/8/2020,6,12740.32
2/8/2020,7,13135.68
2/8/2020,8,13483.68
2/8/2020,9,13650.61
2/8/2020,10,13374.66
2/8/2020,11,13055.56
2/8/2020,12,12951.96
2/8/2020,13,13060
2/8/2020,14,13323.12
2/8/2020,15,13531.51
2/8/2020,16,13908.1
2/8/2020,17,14689.07
2/8/2020,18,15750.94
2/8/2020,19,15724.4
2/8/2020,20,15399.8
2/8/2020,21,14988
2/8/2020,22,14423.21
2/8/2020,23,13732.85
2/8/2020,24,13281.52
2/9/2020,1,12690.23
2/9/2020,2,12365.97
2/9/2020,3,12067.46
2/9/2020,4,12166.81
2/9/2020,5,12152.92
2/9/2020,6,12404.69
2/9/2020,7,12982.4
2/9/2020,8,13467.28
2/9/2020,9,13748.77
2/9/2020,10,13612.71
2/9/2020,11,13488.74
2/9/2020,12,13469.15
2/9/2020,13,13843.76
2/9/2020,14,13941.11
2/9/2020,15,14048.97
2/9/2020,16,14431.55
2/9/2020,17,15120.46
2/9/2020,18,16089.65
2/9/2020,19,16145.51
2/9/2020,20,15658.91
2/9/2020,21,14986.71
2/9/2020,22,14075.82
2/9/2020,23,13014.41
2/9/2020,24,12538.02
2/10/2020,1,11968.63
2/10/2020,2,11592.32
2/10/2020,3,11470.1
2/10/2020,4,11493.54
2/10/2020,5,11822.21
2/10/2020,6,12488.65
2/10/2020,7,13945.84
2/10/2020,8,14906.38
2/10/2020,9,15130.74
2/10/2020,10,15285.54
2/10/2020,11,15367.5
2/10/2020,12,15336.56
2/10/2020,13,15026.3
2/10/2020,14,14999.69
2/10/2020,15,14829.8
2/10/2020,16,14867.27
2/10/2020,17,15334.35
2/10/2020,18,16154.77
2/10/2020,19,16131.3
2/10/2020,20,15631.8
2/10/2020,21,14932.04
2/10/2020,22,13908.35
2/10/2020,23,12738.39
2/10/2020,24,11793.32
2/11/2020,1,11613.65
2/11/2020,2,11246.62
2/11/2020,3,11149.66
2/11/2020,4,11385.42
2/11/2020,5,11354.16
2/11/2020,6,12230.33
2/11/2020,7,13676.12
2/11/2020,8,14679.73
2/11/2020,9,14940.35
2/11/2020,10,15038.95
2/11/2020,11,15147.26
